question,precision,p@1,p@3,p@5,MRR,nDCG,nDCG@3,nDCG@5
"Does the company has a policy or makes reference to protect the environment and limit the impact of its own operations, and/or its products and/or its services occurring throughout the value chain, at its suppliers and/or business partners?",0.8333333333333334,1.0,1.0,0.8,1.0,0.9573288517134924,1.0,0.8687949224876582
Does the company has an Environmental Management System or EMS or a certified ISO 14001 system?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Does the company have a Human Rights policy or a commitment to promote and respect human rights, and to prevent human rights violations or indigenous rights?",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
"Does the company have a committee (such as an Audit Committee) of the Board of Directors or supervisory board responsible for overseeing corporate social responsibility or environmental, social, governance or sustainability risks, such as environmental, climate, human resources, business ethics, human rights risks?",0.6428571428571429,1.0,0.6666666666666666,0.8,1.0,0.9413994697562438,0.7653606369886217,0.830419897363192
Does the company have a policy or a reference to promote diversity and inclusion and prevent discrimination and harassment among its employees?,0.75,1.0,0.6666666666666666,0.8,1.0,0.9144547075429256,0.7039180890341347,0.7860137352654724
"Does the company have a policy or commitment or makes reference to protect biodiversity, the species, habitats, to protect or restore ecosystems, for its operations or for suppiers?",0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Does the company have a policy or makes reference to minimize its water impacts, or reduce or manage its water use or emissions to water or prevent potential accidental pollution to water courses in its operations or supply chain?",0.3333333333333333,1.0,0.3333333333333333,0.4,1.0,0.8772153153380493,0.6131471927654584,0.8772153153380493
Does the company have employee representatives or directors representing employees on the supervisory board or board of directors or similar corporate governance bodies?,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
Does the company have policy or statement of intent that explicitly discloses the responsibilities or intention of the company to ensure employees' physical safety and mental health?,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
"Does the company not engage in lobbying or bribery of government officials or political contributions or have a policy or observe laws, acts, regulations or internal rules or make references to transparency or integrity or responsibility in its involvement in lobbying and political contribution practices or in disclosing and reporting lobbying or political advocacy expenditures or budget?",0.9166666666666666,1.0,1.0,0.8,1.0,0.966731295454843,1.0,0.8539316501572937
Has the company set up any initiatives aimed at reducing or managing GHG or carbon emissions or footprint in its operations or datacenters or supply chain or offices?,0.8333333333333334,1.0,0.6666666666666666,0.8,1.0,0.9512312000626861,0.7653606369886217,0.830419897363192
"Has the company set up any process, activity or initiative aimed at reducing energy consumption or increase the energy efficiency throughout the value chain and/or for its products or services?",0.9333333333333333,1.0,1.0,1.0,1.0,0.9963933524645979,1.0,1.0
What was the  rate of recordable work-related injuries in the company?,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
What was the total energy consumption amount from renewable sources?,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
What was the total energy consumption amount?,0.8,1.0,0.6666666666666666,0.8,1.0,0.9558295932317544,0.7653606369886217,0.9558295932317544
"What were the total fees the company payed its core external auditor in exchange for performing audit, audit-related, and non-audit services?",0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
AVERAGE,0.6214285714285714,0.9375,0.625,0.6375,0.9375,0.910036486597787,0.850821699547841,0.8751640632004132
