query,p,p@1,p@3,p@5,mrr,ndcg,ndcg@3,ndcg@5
"Annual Information Form of HSBC for 2021 filetype:
pdf",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Annual Registration Document of Standard Chartered
for 2022 filetype: pdf",0.5,1.0,1.0,1.0,1.0,0.730623586331022,1.0,1.0
"Annual Report of Commerzbank for 2021 filetype:
pdf",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6923076923076924,0.6923076923076924,0.6923076923076924
"Annual Report of Commerzbank for 2022 filetype:
pdf",0.8,1.0,1.0,0.8,1.0,0.8620689655172414,1.0,0.8620689655172414
"General Corporate Report of Indian Overseas Bank
for 2022 filetype: pdf",0.6363636363636364,1.0,0.6666666666666666,0.6,1.0,0.6460438071388139,0.6923076923076924,0.632183908045977
"SEC and Regulatory: 10-Q/A of HSBC for 2022
filetype: pdf",0.9090909090909091,1.0,1.0,1.0,1.0,0.9674750091701958,1.0,1.0
"SEC and Regulatory: 10-Q/A of Prathama U.P. Gramin
Bank for 2021 filetype: pdf",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"SEC and Regulatory: 10K/A of HSBC for 2021
filetype: pdf",0.9615384615384616,0.0,0.6666666666666666,0.8,0.5,0.8270767842411475,0.5384615384615384,0.6551724137931033
"SEC and Regulatory: 10K/A of Standard Chartered
for 2022 filetype: pdf",0.4166666666666667,1.0,1.0,0.8,1.0,0.6192280619576824,1.0,0.8620689655172414
"SEC and Regulatory: Forms 3,4, and 5 of Standard
Chartered for 2021 filetype: pdf",0.3125,1.0,1.0,0.6,1.0,0.5408551085492419,1.0,0.7471264367816092
"Universal Registration Document of Standard
Chartered for 2021 filetype: pdf",0.75,1.0,0.6666666666666666,0.75,1.0,0.8051948051948051,0.7692307692307692,0.8051948051948051
"Universal Registration Document of Standard
Chartered for 2022 filetype: pdf",0.8,1.0,1.0,0.8,1.0,0.8620689655172414,1.0,0.8620689655172414
Average,0.729402195027195,0.9166666666666666,0.8888888888888888,0.8180555555555556,0.9583333333333334,0.7960785654937571,0.8910256410256411,0.8431826793895759
