bank,url
National Bank of Ras Al-Khaimah (P.S.C.) (The),https://rakbank.ae/wps/portal/header/investor-relations/details/?1dmy&current=true&urile=wcm%3apath%3a%2FRAKBank_en%2FRAKBANK%2FHeader%2FInvestorRelations%2FFinancial%2BPerformance%2FQuarterly%2BReports%2F
Aiyl Bank OJSC,https://ab.kg/en/about/finansovaya-analitika/finansovaya-otchetnost
Sparkasse Harburg - Buxtehude,https://www.spkhb.de/de/home/ihre-sparkasse/ihre-sparkasse-vor-ort.html?n=true&stref=hnav
Banca di Verona Credito Cooperativo Cadidavid Societa cooperativa per azioni,http://www.bancadiverona.it/banca/
CARIFERMO - Cassa di Risparmio di Fermo SpA,https://www.carifermo.it/it/Il-bilancio/
Public Joint-Stock Company 'Classicbank',http://www.bankclassic.com/pvtnst.html
EQDOM,https://institutionnel.eqdom.ma/espace_media/1
Fellbacher Bank eG,https://www.fellbacher-bank.de/wir-fuer-sie/ueber-uns/zahlen-fakten.html
OASIS CAPITAL B.S.C,http://www.oasiscapitalbank.com/innerpages/financials.htm
"JSC ""AGROPROSPERIS BANK""",https://ap-bank.com/en/documents
Banca di Credito Cooperativo di Basiliano,http://www.bccbasiliano.it/template/default.asp?i_menuid=21708
CIH Bank,https://www.cihbank.ma/corporate/espace-financier/resultat-financier
Bancpost SA,https://www.bancpost.ro/despre-bancpost/guvernanta-corporativa/rapoarte
Banco Integracion SA,http://www.bancointegracion.com.py/balances.aspx
Mastercard,https://investor.mastercard.com/financials-and-sec-filings/sec-filings/default.aspx
Banco CSF SA,https://www.carrefoursolucoes.com.br/governanca-corporativa/-/categories/596765?p_r_p_categoryId=596765#relatoriosPortal
Cooperativa De Crédito De Livre Admissão De  Lagoa Da Prata E Região Ltda,http://www.sicooblagoacredgerais.com.br/institucional/demonstracoes-contabeis
Sparkasse Mülheim a.d. Ruhr,https://www.bundesanzeiger.de/ebanzwww/wexsservlet?genericsearch_param.fulltext=Sparkasse Mülheim an der Ruhr&genericsearch_param.part_id=22&(page.navid=to_quicksearchlist)=Suchen
Platinum Bank,http://en.platinumbank.com.ua/view.annual/
Reserve Bank of India,http://www.rbi.org.in/scripts/AnnualReportPublications.aspx
Sparkasse Ostpringnitz-Ruppin,https://www.sparkasse-opr.de/de/home/toolbar/preise-und-hinweise.html?n=true&stref=footer
Banca di Credito Cooperativo della Marca Scrl,https://www.bancadellamarca.it/doc2/default.asp?i_archivioID=69303&i_cartellaID=98126&i_menuID=69346#docList
CHERRY BANK S.P.A.,https://www.bancodelletrevenezie.it/it/investor-relations/informativa-al-pubblico.html
PT Yuanta Sekuritas Indonesia,https://www.yuanta.co.id/page/annual-report
"Carolina Trust Bancshares, Inc",http://www.snl.com/IRW/News/4715924
Bank Millennium,https://www.bankmillennium.pl/en/about-the-bank/investor-relations/financial-reports/semi-annual-reports
Solar Capital Ltd,https://slrinvestmentcorp.com/Investors/SEC-Filings
