bank,url
Brookline Bancorp Inc,https://www.brooklinebancorp.com/sec-filings/Docs/default.aspx
Tompkins Financial Corp,http://www.tompkinsfinancial.com/sec_filings/
Columbia Financial Inc,https://ir.columbiabankonline.com/financials/sec-filings/default.aspx
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly
Standard Chartered Plc,http://investors.sc.com/en/showresults.cfm?categoryid=360
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#FullYear
HSBC Bank (Singapore) Limited,https://www.about.hsbc.com.sg/hsbc-in-singapore
Commerzbank AG,https://investor-relations.commerzbank.com/de/offenlegung/
MCB Bank Limited,https://www.mcb.com.pk/investor-relations/interim-reports
MCB Bank Limited,https://www.mcb.com.pk/investor-relations/capital-adequacy-statements
MCB Bank Limited,https://www.mcb.com.pk/investor-relations/annual-reports
State Bank of India,https://www.sbi.co.in/web/investor-relations/disclosure
State Bank of India,https://bank.sbi/web/corporate-governance/corporate-governance
State Bank of India,https://www.sbi.co.in/web/corporate-governance/basel-iii-disclosures
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report
Arab Investment And Export Credit Guarantee Corporation,http://dhaman.net/en/research-studies/annual-report-latest/
Arab Investment And Export Credit Guarantee Corporation,https://www.dhaman.net/en/corporate-publications/#annual-report
Arab Investment And Export Credit Guarantee Corporation,https://www.dhaman.net/ar/corporate-publications/
Standard Chartered Bank Nepal Limited,https://www.sc.com/np/investor_relations/quarterly-results/en/
Standard Chartered Bank Nepal Limited,https://www.sc.com/np/investor_relations/annual-reports/en/
Standard Chartered Bank Nepal Limited,https://www.sc.com/np/investor_relations/en/index-basel.html
