bank,base_url,pdf_url,resolved_pdf_url
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2013-EDTF-Recommendations.pdf,https://av.sc.com/corp-en/nr/content/docs/2013-EDTF-Recommendations.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2020-results.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2020-results.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2022-pillar-3-disclosure.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2022-pillar-3-disclosure.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2010-Pillar-3-Disclosures.pdf,https://av.sc.com/corp-en/nr/content/docs/2010-Pillar-3-Disclosures.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q1_April_2017.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q1_April_2017.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2004-Half-Year-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2004-Half-Year-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2016-Half-Year-Roadshow-Presentation-.pdf,https://av.sc.com/corp-en/nr/content/docs/2016-Half-Year-Roadshow-Presentation-.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2011-Half-Year-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2011-Half-Year-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-hy-2021-presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-hy-2021-presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_June_2013_Pre-close_Trading_Statement.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_June_2013_Pre-close_Trading_Statement.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q3_31_Oct_2018.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q3_31_Oct_2018.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2015-Disclosure-for-G-SIIs.pdf,https://av.sc.com/corp-en/nr/content/docs/2015-Disclosure-for-G-SIIs.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q1_2011.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q1_2011.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2006-Half-Year-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2006-Half-Year-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2022-presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2022-presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2021-presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2021-presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2020-press-release.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2020-press-release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2008-Half-Year-Report.pdf,https://av.sc.com/corp-en/nr/content/docs/2008-Half-Year-Report.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2019-results.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2019-results.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/nr/corp-en/content/docs/standard-chartered-plc-1q-2021-results.pdf,https://av.sc.com/nr/corp-en/content/docs/standard-chartered-plc-1q-2021-results.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2023-transcript.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-3q-2023-transcript.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2015.pdf,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2015.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2012.pdf,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2012.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q3_29_Oct_2013.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC_IMS_Q3_29_Oct_2013.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2013.pdf,https://av.sc.com/corp-en/nr/content/docs/Annual_Report_2013.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Pre-close_December_2012_Trading_Statement_vFINAL.pdf,https://av.sc.com/corp-en/nr/content/docs/Pre-close_December_2012_Trading_Statement_vFINAL.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC-IMS_Q1_30_Apr_2019.pdf,https://av.sc.com/corp-en/nr/content/docs/Standard_Chartered_PLC-IMS_Q1_30_Apr_2019.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2009-Half-Year-Results-Presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/2009-Half-Year-Results-Presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2005-Half-Year-Results-Presentation.pdf,https://av.sc.com/corp-en/nr/content/docs/2005-Half-Year-Results-Presentation.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2012-Pillar-3-Disclosures.pdf,https://av.sc.com/corp-en/nr/content/docs/2012-Pillar-3-Disclosures.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/2010-Half-Year-Press-Release.pdf,https://av.sc.com/corp-en/nr/content/docs/2010-Half-Year-Press-Release.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-1q-2021-pillar_3_disclosure.pdf,https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-1q-2021-pillar_3_disclosure.pdf
Standard Chartered Plc,https://www.sc.com/en/investors/financial-results/#quarterly,https://av.sc.com/corp-en/nr/content/docs/20230406-SCPLC-Announcement-Presentation-of-financial-information.pdf,https://av.sc.com/corp-en/nr/content/docs/20230406-SCPLC-Announcement-Presentation-of-financial-information.pdf
