Company	Count
Allahabad Bank	5832
Grupo Financiero Scotiabank Inverlat SA DE SV	2973
Grupo Financiero BBVA México	2529
Banco Bilbao Vizcaya Argentaria SA	2455
Banco Nacional de Fomento	1398
Investec Bank (Mauritius) Limited	1283
Bank of Ireland Mortgage Bank	1168
Liberbank SA	1014
Investec Limited	973
Public Financial Holdings Limited	951
Standard Chartered Bank Nepal Limited	878
"JSC ""UNEX BANK"""	876
Rizal Commercial Banking Corp.	851
Bayport Management Limited	808
China Success Finance Group	750
Bank of Scotland Plc	726
J.P. Morgan SE	723
Cooperativa De Economia E Credito Mutuo Dos Integrantes Do Ministerio Publico Do Rio Grande Do Sul	648
International Investment Bank OJSC	614
Nqaba Finance 1 (RF) Ltd	595
MCB Bank Limited	545
Addiko Bank AG	539
Asia Plus Group Holdings Public Company Limited	521
United Gulf Bank (BSC) EC	451
Canada Infrastructure Bank	350
Tisco Bank Public Company Limited	340
Cooperativa De Crédito De Livre Admissão De Associados Sul Catarinense	325
Banca Popolare di Puglia e Basilicata	318
Banka Per Biznes	312
Amlak Finance PJSC	300
Cooperativa De Crédito, Poupança e Investimento do Araguaia e Xingu	292
State Bank of India	285
DANMARKS SKIBSKREDIT A/S	278
Grupo Financiero Improsa SA	269
Bank Mestika Dharma	258
Nepal Bank Limited	256
Omni Banco S.A.	252
National Bank of Kuwait S.A.K.P.	248
Arion Banki hf	248
Arab Investment And Export Credit Guarantee Corporation	247
United Bank For Africa (Uk) Limited	247
Banco de Desenvolvimento de Minas Gerais SA - BDMG	244
UBS Group AG	232
AS LPB Bank	227
Bolig- og Naeringskreditt AS	213
Noor Financial Investment Company	211
Alandsbanken Abp	209
Mizuho Bank México, S.A.	204
Banco Falabella	199
Prime Bank Limited	191
ABC Arbitrage SA	184
Australia and New Zealand Banking Group Limited	182
Banco Central de la Republica Argentina	178
Fusion Microfinance Private Limited	177
Catella Bank SA	177
Volksbank Oelde - Ennigerloh - Neubeukum eG	175
"Closed Joint-Stock Company ""Demir Kyrgyz International Bank"""	175
Cooperativa de Crédito, Poupança e Investimento Valor Sustentável	171
Cooperativa De Crédito E Investimento De Livre Admissão Agroempresarial	171
Cooperativa de Crédito, Poupança e Investimento da Região dos Vales	171
Berenberg Bank - Joh. Berenberg, Gossler & Co. KG	171
Closed Joint Stock Company Alfa Bank	167
mBank SA	167
Bank Ochrony Srodowiska SA - BOS SA	156
ARKEA HOME LOANS SFH	153
Credit Agricole Egypt SAE	151
Bank of India	146
SPAREBANK 1 HELGELAND	143
RATHBONES GROUP PLC	143
Standard Chartered Yatirim Bankasi Turk AS	142
Allied Irish Banks plc	139
Sindhu Bikash Bank	138
HSBC Sri Lanka Branch	133
EFG-Hermes Holding SAE	132
Iller Bankasi A.S.	125
Credito Emiliano SpA	123
Raiffeisen Bank Zrt	121
Musashino Bank	118
Suedtirol Bank AG - Alto Adige Banca SP A.	114
Andorra Banc Agricol Reig SA - AndBank	114
Kvinesdal Sparebank	111
Commonwealth Bank Ltd	111
Banco Consorcio	108
Rietumu Bank Group	107
Volksbank Esens eG	106
Laurentian Bank of Canada	106
TriCo Bancshares	106
Bonum Bank Ltd	103
Bank BPH SA	103
Fondo para el Financiamiento del Sector Agropecuario	103
Banco de Bogota SA	100
Securities Group Company K.S.C.	96
Privredna Banka Sarajevo D.D.	96
Banco de Inversion Y Comercio Exterior SA - BICE	95
SGB Bank SA	94
Cultura Sparebank	94
Mita Securities Co.,Ltd	93
Guyana Bank for Trade & Industry Ltd	90
Banco Nacional de Comercio Exterior SNC - BANCOMEXT	90
Faisal Islamic Bank of Egypt	90
Mizuho Bank Ltd	89
Bank Muamalat Malaysia Berhad	87
Finibanco Angola SA	87
Societe Maghrebail Sa	86
Qatar Central Bank	84
Kommunalbanken AS	84
"""CRNOGORSKA KOMERCIJALNA BANKA"" A.D. PODGORICA"	83
Banco Ctt	83
Miteri Development Bank Ltd	81
Maroc Leasing Cie Marocaine De Location d'Equipements SA	80
"""Farm Credit Armenia"" Universal Credit Organization Commercial Cooperative"	79
JSCMB 'Ipoteka bank'	78
Deutsche Bank Polska S.A.	75
SpareBank 1 SMN	74
Cagamas Berhad	73
Iwata Shinkin Bank	73
Bank AlBilad	73
Banca Cassa di risparmio di Savigliano SpA - Banca CRS	72
Skudenes & Aakra Sparebank	72
SRPSKA BANKA AD BEOGRAD	72
Diler Yatirim Bankasi AS	71
TF Varlik Kiralama AS	71
VersaBank	71
Bank Asia Limited	70
Bandhan Bank Limited	70
Nesset Sparebank	70
Baltic International Bank	69
Murakami Shinkin Bank	68
Financiera de Desarrollo Territorial S.A. Findeter	68
AmInvestment Bank Berhad	68
PT Bank ANZ Indonesia	67
Burgan Yatirim Menkul Degerler Anonim Sirketi	64
Multi inversiones Banco Cooperativo de los Trabajadores, S. C. de R. L. de C. V.	63
Volksbank Bielefeld Guetersloh eG	62
Sociedade Para O Financiamento Do Desenvolvimento,Instituição Financeira De Crédito	61
Banco Ficohsa Panama S.A.	61
Volksbank eG Pattensen	61
Secure Trust Bank Plc	60
Haitong International Securities Group Limited	59
Community and Workers of Jamaica Co-operative Credit Union Ltd.	58
Banplus Banco Universal CA	58
Gladbacher Bank AG von 1922	58
ProCredit Holding AG & Co. KGaA	58
Siemens Financieringsmaatschappij	57
Asian Infrastructure Investment Bank	57
GTBankTanzania	55
Capital Small Finance Bank Limited	55
MUFG Bank, Ltd	54
Banco Pyme De La Comunidad	54
Volksbank Raiffeisenbank Bad Kissingen eG	54
